"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2021","42,004,088","42,459,700","42,522,896","41,504,120","0.00K","-1.07%"
"Nov 12, 2021","42,459,700","42,580,000","42,990,000","41,700,032","0.00K","-0.28%"
"Nov 11, 2021","42,580,000","43,500,000","45,000,000","41,900,000","0.00K","-2.11%"
"Nov 10, 2021","43,500,000","44,104,016","45,000,000","42,330,356","0.00K","-1.37%"
"Nov 09, 2021","44,104,016","41,980,000","44,995,000","41,230,000","0.00K","5.06%"
"Nov 08, 2021","41,980,000","39,540,060","41,980,000","39,540,060","0.00K","6.17%"
"Nov 07, 2021","39,540,060","39,382,984","39,935,296","39,250,000","0.00K","0.40%"
"Nov 06, 2021","39,382,984","39,005,100","39,710,200","38,590,000","0.00K","0.97%"
"Nov 05, 2021","39,005,100","38,932,760","39,696,992","38,205,000","0.00K","0.19%"
"Nov 04, 2021","38,932,760","39,415,000","45,000,000","37,420,000","0.01K","-1.22%"
"Nov 03, 2021","39,415,000","40,454,000","40,835,000","39,000,000","0.00K","-2.57%"
"Nov 02, 2021","40,454,000","39,068,000","41,130,000","38,717,100","0.00K","3.55%"
"Nov 01, 2021","39,068,000","37,851,228","40,600,000","37,580,012","0.00K","3.21%"
"Oct 31, 2021","37,851,228","39,100,504","39,199,988","37,010,400","0.00K","-3.20%"
"Oct 30, 2021","39,100,504","39,555,000","39,556,000","39,000,000","","-1.15%"
"Oct 29, 2021","39,555,000","39,736,900","39,999,960","39,000,000","0.00K","-0.46%"
"Oct 28, 2021","39,736,900","41,163,952","41,163,992","39,360,000","0.00K","-3.47%"
"Oct 27, 2021","41,163,952","42,800,000","42,800,000","39,000,332","0.00K","-3.82%"
"Oct 26, 2021","42,800,000","42,027,100","43,376,992","42,026,008","0.00K","1.84%"
"Oct 25, 2021","42,027,100","47,698,000","48,495,000","34,700,500","0.01K","-11.89%"
"Oct 24, 2021","47,698,000","48,460,064","48,686,992","46,500,000","0.00K","-1.57%"
"Oct 23, 2021","48,460,064","47,600,000","49,000,000","47,131,000","0.00K","1.81%"
"Oct 22, 2021","47,600,000","50,320,000","50,630,000","46,250,000","0.01K","-5.41%"
"Oct 21, 2021","50,320,000","50,518,528","52,000,000","49,800,000","0.01K","-0.39%"
"Oct 20, 2021","50,518,528","49,720,000","51,999,000","49,630,100","0.00K","1.61%"
"Oct 19, 2021","49,720,000","48,225,004","50,900,000","47,900,000","0.00K","3.10%"
